Timestamp,UserID,Event Name,UUID,Param/redBulletsFired,Param/totalTimesPlayerHasSwitched,Param/timesPlayerHasSwitched
6/11/2023 15:33:45,NULL,FiredRedBullet,c3c27dd6d080b0d58c3deba6d169c940,1,,
6/11/2023 15:33:48,NULL,FiredRedBullet,9303347871a4e5505af3b5ef9d0ed1a9,2,,
6/11/2023 15:46:09,NULL,FiredRedBullet,91fe13b21f706546964495578cc3da05,1,,
6/11/2023 15:46:11,NULL,FiredRedBullet,f301737908c57d9563ea3aa1312a2a7d,2,,
6/11/2023 15:46:13,NULL,FiredRedBullet,787abc266193c9ae497b4784d1c47504,3,,
6/11/2023 15:46:14,NULL,FiredRedBullet,f9cbbe68d0f15dd0cf20d8b9867c0279,4,,
6/11/2023 15:46:16,NULL,FiredRedBullet,cd66f8624f956825f62a90dc3791782d,5,,
6/11/2023 17:04:57,NULL,totalTimesPlayerHasSwitched,54a239ece1f352dfe9e5e97706a9da60,,0,
6/11/2023 17:05:01,NULL,totalTimesPlayerHasSwitched,451b407fc4acf3842b8609d287f3a768,,0,
6/11/2023 17:41:53,NULL,TimesSwitched,76ae42ab35ed1d12ce296c5297f96907,,,1
6/11/2023 17:41:56,NULL,TimesSwitched,46490f6654426f16409504320b7a17ce,,,2
6/11/2023 17:41:58,NULL,TimesSwitched,9fbd60c680a005441fb354c6ab691a7f,,,3
6/11/2023 17:41:59,NULL,TimesSwitched,653290773303263d4d49788dfce6e64a,,,4
6/11/2023 17:42:00,NULL,TimesSwitched,51cf1c0ab59871e5ff7117ec22462d32,,,5
6/11/2023 17:43:30,NULL,TimesSwitched,ac05ff1a2b9e047ac855ac8b1cef4330,,,1
6/11/2023 17:43:33,NULL,TimesSwitched,c93d53b9c9c4246ac0691e30ead7e512,,,2
6/11/2023 17:43:34,NULL,TimesSwitched,fdb68ce966699d09492df1593adef36c,,,3
6/11/2023 17:43:35,NULL,TimesSwitched,76dac233cc82eadba58499f08685495f,,,4
6/11/2023 17:43:36,NULL,TimesSwitched,824fcf52146bb33e6c2eff1103214fd4,,,5
6/11/2023 17:43:36,NULL,TimesSwitched,824fcf52146bb33e6c2eff1103214fd4,,,6
6/11/2023 17:43:37,NULL,TimesSwitched,eb634b6844f6fe9bb82e4d1ae71ee638,,,7
6/11/2023 17:43:37,NULL,TimesSwitched,eb634b6844f6fe9bb82e4d1ae71ee638,,,8
6/11/2023 17:43:37,NULL,TimesSwitched,eb634b6844f6fe9bb82e4d1ae71ee638,,,9
6/11/2023 17:43:38,NULL,TimesSwitched,6ad4c009b6ba7582bd3333a05524937c,,,10
6/11/2023 17:43:38,NULL,TimesSwitched,6ad4c009b6ba7582bd3333a05524937c,,,11
6/11/2023 17:43:38,NULL,TimesSwitched,6ad4c009b6ba7582bd3333a05524937c,,,12
6/11/2023 17:43:39,NULL,TimesSwitched,d91460df6fcb7c55f907aa9217b867bf,,,13
6/11/2023 17:43:39,NULL,TimesSwitched,d91460df6fcb7c55f907aa9217b867bf,,,14
6/11/2023 17:43:39,NULL,TimesSwitched,d91460df6fcb7c55f907aa9217b867bf,,,15
6/11/2023 17:43:39,NULL,TimesSwitched,d91460df6fcb7c55f907aa9217b867bf,,,16
6/11/2023 17:43:39,NULL,TimesSwitched,d91460df6fcb7c55f907aa9217b867bf,,,17
6/11/2023 17:43:40,NULL,TimesSwitched,713b43daf87b7fe1493f4caf2f7605d9,,,18
6/11/2023 17:43:40,NULL,TimesSwitched,713b43daf87b7fe1493f4caf2f7605d9,,,19
6/11/2023 17:43:40,NULL,TimesSwitched,713b43daf87b7fe1493f4caf2f7605d9,,,20
6/11/2023 17:43:40,NULL,TimesSwitched,713b43daf87b7fe1493f4caf2f7605d9,,,21
6/11/2023 17:43:40,NULL,TimesSwitched,713b43daf87b7fe1493f4caf2f7605d9,,,22
6/11/2023 17:43:40,NULL,TimesSwitched,713b43daf87b7fe1493f4caf2f7605d9,,,23
6/11/2023 18:02:43,NULL,TimesSwitched,0f8543f380d3425cdde51e7b2ee1eef6,,,1
6/11/2023 18:03:15,NULL,TimesSwitched,4b555c28fcfefab8c673a92a4c595b91,,,1
6/11/2023 18:03:18,NULL,TimesSwitched,9f83080915a78efdad0d92f437331b8c,,,2
6/11/2023 18:03:20,NULL,TimesSwitched,306f118f8293015cae44697c8dfe2675,,,3
6/11/2023 18:03:30,NULL,TimesSwitched,e9f23b6bccb87f0010bc0a15f5641686,,,4
6/11/2023 18:03:33,NULL,TimesSwitched,4bfc4053e4c59edcccd693e0f83c6555,,,5
6/11/2023 18:03:36,NULL,TimesSwitched,04d7ce8acb1c2333da803ddb55949515,,,6
6/11/2023 18:03:38,NULL,TimesSwitched,91ce0c4f3206750665f43aede11b889d,,,7
6/11/2023 18:03:41,NULL,TimesSwitched,dbe5115691112a991d68faa1030fca17,,,1
6/11/2023 18:03:47,NULL,TimesSwitched,2305a434b35be424c72bf55b0a534388,,,2
6/11/2023 18:03:48,NULL,TimesSwitched,a0cb1b1221ae4f8aaf0f5c8ac9a432f5,,,3
6/11/2023 18:03:56,NULL,TimesSwitched,0531869af1dcb15fab5205c62f069135,,,1
6/11/2023 18:04:00,NULL,TimesSwitched,477d425e553a456d60cb0c94b83dc12d,,,2
6/11/2023 18:04:01,NULL,TimesSwitched,2935ac224f4c562a1a1329b7729b15e1,,,3
6/11/2023 18:04:02,NULL,TimesSwitched,71a17696a670988f1d7ee66de042601a,,,4
6/11/2023 18:04:04,NULL,TimesSwitched,070d022b532fc5fb218c86dcbcf66672,,,5
6/11/2023 18:04:05,NULL,TimesSwitched,dba0fe3ab1051fc181caa9a5d7f7958b,,,6
6/11/2023 18:04:06,NULL,TimesSwitched,79449b8489fa91d1774c1de36da8f130,,,7
6/11/2023 18:04:06,NULL,TimesSwitched,79449b8489fa91d1774c1de36da8f130,,,8
6/11/2023 18:04:07,NULL,TimesSwitched,e299f23a621725d9ae03722592adf8e6,,,9
6/11/2023 18:04:09,NULL,TimesSwitched,b5923e70ce3ac86e80992ee2d32bfb79,,,10
6/11/2023 18:04:09,NULL,TimesSwitched,b5923e70ce3ac86e80992ee2d32bfb79,,,11
6/11/2023 18:04:10,NULL,TimesSwitched,229713e6ae2579e80d90c13fe37741b8,,,12
6/11/2023 18:04:10,NULL,TimesSwitched,229713e6ae2579e80d90c13fe37741b8,,,13
6/11/2023 18:04:11,NULL,TimesSwitched,8d909ecfa595e2bd0e89fc11bce7745c,,,14
6/11/2023 18:04:12,NULL,TimesSwitched,842f8baed0515703d2ce33f184c8eba2,,,15
6/11/2023 18:04:13,NULL,TimesSwitched,cc7ccdb127dadd0897af0be87167c955,,,16
6/11/2023 18:04:15,NULL,TimesSwitched,f9ab094c4641d540d3898fffae59fb0a,,,17
6/11/2023 18:04:17,NULL,TimesSwitched,a19437574b5c2b24e3e9ec74683ee3af,,,18
6/11/2023 18:04:18,NULL,TimesSwitched,2a261554d708391953546e12c3e0333f,,,19
6/11/2023 18:04:23,NULL,TimesSwitched,e41f62a10d0bd528170b4e5c7a54da56,,,20
6/11/2023 18:04:25,NULL,TimesSwitched,00fc99fc166d487fd76760a942f86811,,,21
6/11/2023 18:04:26,NULL,TimesSwitched,09b0721e3391095e0a8b29111324fefa,,,22
6/11/2023 18:04:27,NULL,TimesSwitched,8e5d11cb0c54f76aa19a2c0bc10ce39e,,,23
6/11/2023 18:04:28,NULL,TimesSwitched,70c86c03b7e7242f3bc5bc19c08a0a97,,,24
6/11/2023 18:04:29,NULL,TimesSwitched,2338954a147510b783779b97879bf949,,,25
6/11/2023 18:04:31,NULL,TimesSwitched,d8cbf3aaeeaa10cec05ecbfc9e0fb045,,,26
6/11/2023 18:04:32,NULL,TimesSwitched,f1ade51296c2897ca8652c739edd17e3,,,27
6/11/2023 18:04:32,NULL,TimesSwitched,f1ade51296c2897ca8652c739edd17e3,,,28
6/11/2023 18:04:33,NULL,TimesSwitched,5d9a7ed232308282465e0d0ba4c178e9,,,29
6/11/2023 18:04:34,NULL,TimesSwitched,ac3218cbf87e2acb9c0a8807b9edec06,,,30
6/11/2023 18:04:36,NULL,TimesSwitched,51d9742dcc21c6edfa48efa58d336deb,,,31
6/11/2023 18:04:37,NULL,TimesSwitched,a130674c0b37ab74e5f91e3f6713ca77,,,32
6/11/2023 18:04:43,NULL,TimesSwitched,92b3f6a5e2698a03ff295491d4abad64,,,1
6/11/2023 18:04:45,NULL,TimesSwitched,3e472baa5d18a4d816894ea4dccb14bd,,,2
6/11/2023 18:04:48,NULL,TimesSwitched,6e2831f32c0c805e5421a692acc3b4fb,,,3
6/11/2023 18:04:49,NULL,TimesSwitched,47d7205d7dc494c601fd0d185f3c0d31,,,4
6/11/2023 18:04:51,NULL,TimesSwitched,8041fdd336e36d56a703785fe7984bb5,,,5
6/11/2023 18:04:52,NULL,TimesSwitched,aa4f3913591cbd8ae006e65b7f03113e,,,6
6/11/2023 18:04:54,NULL,TimesSwitched,7e2299453f1d0b82c8cc860fcf1c1414,,,7
6/11/2023 18:04:56,NULL,TimesSwitched,c42ed9c6acdd028b55737f3dee1bb9a5,,,8
6/11/2023 18:04:56,NULL,TimesSwitched,c42ed9c6acdd028b55737f3dee1bb9a5,,,9
6/11/2023 18:04:57,NULL,TimesSwitched,ee2ec14f93bec6bbb7e83cedbe562463,,,10
6/11/2023 18:04:58,NULL,TimesSwitched,19d6c3195db1ac6cbb3ca9d0d9e38d6a,,,11
6/11/2023 18:05:01,NULL,TimesSwitched,5cb0c4100dce5557b7da0e27fd15d781,,,1
6/11/2023 18:05:02,NULL,TimesSwitched,7899e005f1ee68cdfedcc06f148a887a,,,2
6/11/2023 18:05:06,NULL,TimesSwitched,27ed847a97abd4352ea5df4505e7ce2b,,,3
6/11/2023 18:05:06,NULL,TimesSwitched,27ed847a97abd4352ea5df4505e7ce2b,,,4
6/11/2023 18:05:08,NULL,TimesSwitched,4e4666b907a5c495cae5c07b07139a34,,,5
6/11/2023 18:05:09,NULL,TimesSwitched,8bb35782a15b36977d45dcbe279b0bee,,,6
6/11/2023 18:05:10,NULL,TimesSwitched,0b3320cfe180321dce028a31589da618,,,7
6/11/2023 18:05:11,NULL,TimesSwitched,f804ca7a810f0b9f236a35310a728358,,,8
6/11/2023 18:05:13,NULL,TimesSwitched,09c7decb4f1d689cead7dcf7fd24cf63,,,9
6/11/2023 18:05:14,NULL,TimesSwitched,816cef4f048780b1ecef3495b7c7c7f5,,,10
6/11/2023 18:05:16,NULL,TimesSwitched,8bfb80a63eaa6b2be16e4fc6dc03ac22,,,11
6/11/2023 18:05:18,NULL,TimesSwitched,51a041dbacc79f296b15d3e6750e4014,,,12
6/11/2023 18:05:19,NULL,TimesSwitched,b12f6308f2f2aa748f77d15c73c25309,,,13
6/11/2023 18:05:24,NULL,TimesSwitched,7fbed62af132d88c64d7e97b2dc4b1df,,,14
6/11/2023 18:05:27,NULL,TimesSwitched,9f828c9a95a5209e6be04d246805ae59,,,15
6/11/2023 18:05:31,NULL,TimesSwitched,8c44e75633191adc1056e79d3190bb11,,,16
6/11/2023 18:05:33,NULL,TimesSwitched,80dcc03a4ba4383ff64f543122f1e3ba,,,17
6/11/2023 18:05:34,NULL,TimesSwitched,ea26f0577a1466180fefd29603d3c797,,,18
6/11/2023 18:05:36,NULL,TimesSwitched,a001c0a6b15aff49a5b476eb773bfca5,,,19
6/11/2023 18:05:37,NULL,TimesSwitched,a5548b0dd59121044528965708276e88,,,20
6/11/2023 18:05:42,NULL,TimesSwitched,10508ca60a73bc48b8c9fce38f18421e,,,21
6/11/2023 18:05:44,NULL,TimesSwitched,b35e974e5e94a0203681a7ce7fa35393,,,22
6/11/2023 18:05:45,NULL,TimesSwitched,b5b1d9b915891893387381a050235764,,,23
6/11/2023 18:05:46,NULL,TimesSwitched,5ab15b4dc8cebb37435a21a51c3af1fb,,,24
6/11/2023 18:05:48,NULL,TimesSwitched,5fdfc15adc0f909629a5f804a7bdbb85,,,1
6/11/2023 18:07:52,NULL,TimesSwitched,2d92c5e783f17ee3df152157f3ea212e,,,1
6/11/2023 18:07:59,NULL,TimesSwitched,fbbde68235826903ff14e7fd1a5b93cb,,,2
6/11/2023 18:07:59,NULL,TimesSwitched,fbbde68235826903ff14e7fd1a5b93cb,,,3
6/11/2023 18:08:00,NULL,TimesSwitched,b76211c45bd8dbba8063001caa6e8191,,,4
6/11/2023 18:08:01,NULL,TimesSwitched,218e03d7614519bc2162a85c6f5136cd,,,5
6/11/2023 18:08:02,NULL,TimesSwitched,dafd6640b88ecb4ff511332b8e8ec1d2,,,6
6/11/2023 18:08:03,NULL,TimesSwitched,528370bb8d8c3d1b617f7798fceb00f3,,,7
6/11/2023 18:08:07,NULL,TimesSwitched,cfa4811a8961288885879c697206e2df,,,8
6/11/2023 18:08:10,NULL,TimesSwitched,92d8cd811b2b112e272f5811bd498528,,,1
6/11/2023 18:08:11,NULL,TimesSwitched,d3e808ccb1c7881cdb23ffbbbbee2a71,,,2
6/11/2023 18:08:12,NULL,TimesSwitched,fbb2924ccd3d47246727f673a8bd708d,,,3
6/11/2023 18:08:13,NULL,TimesSwitched,ba22da880795ea187c7c726a26d713ec,,,4
6/11/2023 18:08:15,NULL,TimesSwitched,ae7f55de779ea01925e4085994934afa,,,5
6/11/2023 18:08:16,NULL,TimesSwitched,8f9b60665cb9b99c9690172ddc14795b,,,6
6/11/2023 18:08:16,NULL,TimesSwitched,8f9b60665cb9b99c9690172ddc14795b,,,7
6/11/2023 18:08:17,NULL,TimesSwitched,f63f92e4127cda30eef20b6cd1ed7359,,,8
6/11/2023 18:08:20,NULL,TimesSwitched,7f8005bd9b9f7a333272a5195a7108e1,,,9
6/11/2023 18:08:22,NULL,TimesSwitched,b334fce7e1f9e87ddba62d2859423d36,,,10
6/11/2023 18:08:23,NULL,TimesSwitched,7abf5cc0179d815739187312c3d15900,,,11
6/11/2023 18:08:24,NULL,TimesSwitched,22103db794101cbcb9d121d27c92b205,,,12
6/11/2023 18:08:27,NULL,TimesSwitched,f0b2ae7dacb74bbd1e6694499288d3d1,,,13
6/11/2023 18:10:46,NULL,TimesSwitched,fe34c29a4b8001ea4d70c56e03dc0edd,,,1
6/11/2023 18:12:09,NULL,TimesSwitched,4ae4ddcbc6b7321e9ec533a5eb25692e,,,1
6/11/2023 18:13:17,NULL,TimesSwitched,5fef6da8592d907c497d73c0cd141597,,,1
6/11/2023 18:13:21,NULL,TimesSwitched,19d6508f5e6b539aa2e036a3bfc1f7c8,,,2
6/11/2023 18:13:22,NULL,TimesSwitched,bbf90a459ff16ae8dd37bb215d305b07,,,3
6/11/2023 18:13:23,NULL,TimesSwitched,062185d9ba8f75b265fb0619d1ec05aa,,,4
6/11/2023 18:13:25,NULL,TimesSwitched,787f833f19b43ac7521513d46c7e3da5,,,5
6/11/2023 18:21:48,NULL,TimesSwitched,48db42bc8c9904295ba885ebab1b771b,,,1
6/11/2023 18:21:51,NULL,TimesSwitched,a7c1c66dd4ceb356b9486b7ee8b9ed7d,,,2
6/11/2023 18:21:53,NULL,TimesSwitched,1fa1197659f1174cda15780430ccd0e7,,,3
6/11/2023 18:21:54,NULL,TimesSwitched,f519801b2c0ccc34c50b0de2b43b6a7c,,,4
6/11/2023 18:21:55,NULL,TimesSwitched,0cba142840986e91d06a60a1f540fd63,,,5
6/11/2023 18:21:59,NULL,TimesSwitched,f119890c12af73273dcd147fa02c7ef5,,,6
6/11/2023 18:22:00,NULL,TimesSwitched,43737bec49617990601ffa2a208ec3bc,,,7
6/11/2023 18:22:02,NULL,TimesSwitched,2f1aa46a7236f4f32c5b986dc67de254,,,8
6/11/2023 18:22:02,NULL,TimesSwitched,2f1aa46a7236f4f32c5b986dc67de254,,,9
6/11/2023 18:22:03,NULL,TimesSwitched,eb4ba78f21ef28c75cf493e65310748c,,,10
6/11/2023 18:22:04,NULL,TimesSwitched,b1946e6dba70e609eeb6d51b5a6ff1ba,,,11
6/11/2023 18:22:05,NULL,TimesSwitched,d660e539b0d67f88b430400de0a86803,,,12
